Citizenship,Admission_Status,Outstanding_Loans,Academic_Performance,Field_of_Study,Year_of_Study,Family_Income,Number_of_Dependents,Orphan,Parents_Disability,Eligible
1,1,0,3.949928806446427,Humanities,4,315690.3279021069,5,0,0,1
1,0,0,4.144408250877489,STEM,2,205923.77196680286,3,0,0,0
1,1,1,2.94000990649161,STEM,3,710020.5604788879,2,0,0,0
1,1,1,3.4148266211197194,STEM,2,242776.5799953297,5,0,0,0
1,1,0,3.0079156271663368,STEM,3,249395.9489231726,5,0,0,1
1,1,0,3.188445041810226,Business,3,159046.6118751345,2,0,0,1
1,1,1,3.4764494480575845,STEM,2,194564.24623694277,3,0,0,0
1,1,0,3.964038452619763,STEM,3,375723.9567657699,7,1,0,1
1,1,0,3.8072739619999627,STEM,3,180399.90750951576,6,0,0,1
1,1,0,3.57004024153835,Health Sciences,1,330453.1792435296,3,0,0,1
1,1,0,4.604323774715141,STEM,4,488341.7071279586,2,0,0,1
1,1,1,2.850350012026756,Humanities,2,255486.14160475397,3,0,0,0
1,1,0,3.2159238650286803,STEM,1,161512.71274368488,5,0,0,1
1,1,0,3.5527700689157182,Business,4,230958.34878107358,5,0,0,1
1,1,0,3.3442417588781157,Humanities,1,1200631.1564550705,4,0,0,0
1,1,0,3.396737019539815,Humanities,3,221583.39713906555,3,0,0,1
1,1,0,3.9324769041633543,Health Sciences,1,193439.17283181986,4,0,0,1
1,1,0,3.0581562425469304,Humanities,2,106282.51162845634,5,0,0,1
1,1,0,4.387866309680173,STEM,2,357925.6885047825,4,0,0,1
1,0,0,3.043586217127691,Business,4,271976.75300996203,2,0,1,0
1,1,0,3.13014871337034,Health Sciences,3,324250.4839161631,3,0,0,1
1,1,0,4.068984999486064,Health Sciences,1,170684.66329495123,1,0,0,1
1,1,0,4.107419655844659,Health Sciences,2,431935.50566972373,3,0,0,1
1,1,0,3.3380218623494,Business,4,659244.5418537037,4,0,1,1
1,1,0,4.121882826414819,STEM,1,261772.82016505944,3,0,0,1
1,1,0,3.0464104452839775,STEM,1,255289.5522810062,4,0,0,1
0,1,0,2.5458924050138467,STEM,4,302792.93344993016,3,0,0,0
1,1,1,3.9954732221573668,STEM,2,155514.64204134193,3,0,0,0
1,1,0,2.743738284774713,STEM,1,480783.02419948054,2,0,0,1
1,0,0,3.492952626113037,STEM,3,402301.9918753734,2,0,0,0
1,1,0,4.452241248773724,Humanities,4,253423.21566998385,2,0,0,1
1,1,0,3.027058510268891,Business,1,250622.7511573003,2,0,0,1
1,0,1,2.8527184607426648,STEM,3,407753.07208472,3,0,0,0
1,1,0,3.023463847689515,Humanities,1,102226.86025294139,5,0,0,1
1,1,0,2.8857479972865403,STEM,1,480005.44294674584,2,0,0,1
1,1,1,2.9468367657593175,Business,2,196252.48361163435,3,0,1,0
1,1,1,2.7308346608693386,Business,2,564096.9119356371,3,0,0,0
1,1,0,3.985580249615184,Humanities,3,188441.15522029312,3,0,0,1
1,1,0,2.65907472464401,Health Sciences,2,252701.5044115176,3,0,0,1
1,1,0,3.8257497611341784,Health Sciences,4,183758.439574368,1,0,0,1
1,1,1,2.6750383376699074,Humanities,4,542422.7643309926,4,0,0,0
1,1,0,3.5763569953384606,STEM,4,276140.2385826787,2,0,0,1
1,1,1,3.944109629175453,STEM,3,372701.3591727697,4,0,0,0
0,1,1,3.4822466553267515,Humanities,3,102642.01929728729,3,0,0,0
1,1,0,2.893419086475066,STEM,1,239764.03956903465,1,0,0,1
1,1,0,3.4770241871223138,Business,3,114650.04846755047,4,0,0,1
1,1,0,3.2312493476472843,STEM,1,127692.08582521752,4,0,0,1
1,0,0,3.4059733126464553,Business,3,256787.64870460943,1,0,0,0
1,0,0,2.8553965621908004,Business,4,287583.2918014598,3,1,0,0
1,1,0,3.6795882318492947,STEM,3,209435.89430591723,4,0,0,1
1,1,0,3.3609874109018807,Health Sciences,2,288139.26187645586,6,0,0,1
1,1,0,3.8810141401750125,STEM,2,149477.54273614346,2,0,0,1
1,0,0,4.017940156692683,Health Sciences,3,217897.0665048521,3,0,0,0
1,1,0,3.6743779333978517,Business,3,255986.10924714745,4,0,0,1
1,0,0,3.339014785146953,STEM,3,168169.10950543167,4,0,0,0
1,1,0,3.115408043033024,Business,1,650889.2361484378,2,0,0,0
1,1,0,3.0637474570476693,Health Sciences,1,340451.80956683616,4,0,0,1
1,0,0,3.666079433929938,STEM,4,168529.83767725932,7,0,0,0
1,1,1,3.7590147071093774,STEM,4,464077.1818053415,3,0,0,0
1,1,0,3.432596440194484,STEM,1,338530.4861151977,4,0,0,1
1,1,0,3.493338898164066,Business,1,177991.4646270282,1,0,0,1
1,1,0,2.806897717154387,Humanities,2,295042.9165654078,4,0,0,1
1,1,0,3.571627556176662,Business,3,341526.30970606144,2,0,0,1
1,1,0,3.2694516000453837,STEM,2,294344.01422073675,3,1,0,1
1,1,0,4.07986678371667,STEM,4,163695.90696709105,2,0,0,1
1,1,0,3.6611260132663945,Business,3,182138.95478766676,2,1,0,1
0,1,0,3.3480172631826757,Humanities,1,267252.8434854261,4,0,0,0
1,1,1,3.6965108050520774,STEM,1,274776.82916058967,4,0,0,0
1,1,0,4.4394490277069885,STEM,4,84345.15424668221,4,0,1,1
0,1,1,3.9361125702175004,STEM,1,506064.41812764265,2,0,0,0
1,1,0,3.2151963480745516,STEM,2,565915.613648513,4,0,0,0
1,1,0,3.755125504706236,Health Sciences,3,244310.53013642944,2,0,0,1
1,1,0,4.95048749749347,STEM,3,386671.66480628843,2,0,0,1
1,1,0,3.9383350261895127,STEM,3,526493.115851323,0,0,0,0
1,1,0,3.4366646311842803,STEM,4,497249.6870462569,3,0,0,1
1,1,0,4.121598764866727,Humanities,4,399939.26309844526,0,0,0,1
1,1,0,2.602063023639892,Business,2,351517.0114564276,6,0,0,1
1,1,0,2.974537108064208,Humanities,2,445147.1998077962,4,0,0,1
1,1,0,2.5586703707680356,STEM,2,389477.8655185954,3,0,0,1
1,1,1,2.7086783468634184,STEM,2,302336.66029026685,4,0,0,0
1,1,0,3.5071315246334125,STEM,1,146161.79026114038,5,0,0,1
1,0,0,2.810611485284498,STEM,2,343185.22165630956,1,0,0,0
1,0,0,2.9970556250717615,STEM,1,164068.64752446045,5,1,0,0
1,1,0,2.6418402523959608,Health Sciences,3,276452.17944391066,4,0,0,1
1,1,0,3.7323744745075147,Health Sciences,3,294634.8272644242,2,1,0,1
1,1,0,2.8870638383680776,STEM,2,428368.4057736714,2,0,0,1
1,1,1,3.9361355991524793,Business,2,160039.9558522823,1,0,1,0
1,1,1,3.43141576141314,STEM,3,420463.4339632085,1,0,0,0
1,1,1,4.197681409692632,STEM,2,556424.3287056709,5,0,0,0
1,1,1,3.3214446775921416,Humanities,1,822921.2696642745,1,0,0,0
1,1,0,3.93371190764246,STEM,1,773205.3588644532,2,0,0,0
1,1,0,3.603066790755305,STEM,4,294225.3418695013,3,0,0,1
1,1,0,3.8041229643591588,STEM,4,102575.2033797324,5,0,0,1
1,0,0,3.9742065812169853,Health Sciences,4,172978.03906486498,3,1,0,0
1,0,1,3.5918540908389502,STEM,3,271062.442407592,2,0,0,0
1,1,0,3.6901782481010676,STEM,4,464857.35561128135,7,0,0,1
1,1,1,3.7806128265747128,STEM,4,213745.13995228478,6,0,0,0
1,1,1,2.693871776411226,Health Sciences,4,147949.74636135367,2,0,0,0
1,0,0,3.6847728972868814,STEM,1,131670.77694324084,3,0,0,0
1,1,0,3.9185978907481527,STEM,3,380951.6849338396,3,1,0,1
1,0,1,3.459125122713358,Business,1,282307.3635511709,5,0,0,0
1,1,1,2.823316485755862,Business,2,804868.6135500504,4,0,0,0
1,1,0,3.7498698530147205,STEM,3,174690.37279616928,4,1,0,1
0,1,1,2.7985079925532377,STEM,4,249364.65486683062,2,0,0,0
1,1,0,2.658996658411737,Health Sciences,2,608963.0973313205,0,0,0,0
1,1,0,4.081537550240397,STEM,4,520406.73150006746,3,0,0,0
0,1,0,3.761099295958087,STEM,4,166777.35108906848,4,0,0,0
1,1,0,3.0999086450728193,Business,3,92731.58687441408,6,0,0,1
1,1,1,3.7117371840972617,Business,3,221809.3312326501,2,0,0,0
1,0,0,3.4008867343251055,Humanities,2,162423.59082605373,5,0,0,0
1,1,0,3.902840475918279,Humanities,4,253576.27675418567,1,1,0,1
1,1,0,5.0,Business,4,246761.20010804335,2,0,0,1
1,1,0,3.0569736220825487,Humanities,1,363732.23461144173,1,0,0,1
1,1,1,3.3244035146743345,Business,4,221276.34783017714,1,1,0,0
1,1,0,2.9102146724592384,Health Sciences,1,210024.49946894805,3,0,0,1
1,1,0,4.02255653241832,Health Sciences,3,270882.9596303563,0,0,0,1
1,1,0,3.385098688484759,Health Sciences,1,335395.55719755904,2,0,1,1
1,1,0,3.3888612149075232,Humanities,1,315169.7764013235,3,1,0,1
1,1,1,3.28670813782123,STEM,1,189552.85841456256,2,0,0,0
1,1,1,3.2076270093604404,Humanities,2,339469.9124008783,3,0,0,0
1,1,0,3.2379297561698057,Health Sciences,2,163889.2952389186,8,0,0,1
1,1,0,3.3058960013544936,Business,4,172170.73583448902,4,0,0,1
1,1,0,3.893044443653875,STEM,4,259722.1914897148,5,0,0,1
1,1,0,3.964638413936752,STEM,4,180751.3515877412,3,0,0,1
1,0,0,3.5784098583782726,STEM,4,296525.6481586695,2,0,0,0
1,1,0,4.220831274569964,STEM,2,359573.08627124695,2,0,0,1
1,1,0,3.8143240711000597,Business,1,1385774.5467377668,2,0,0,0
1,1,1,3.18556047700369,STEM,3,410478.7484729188,5,0,0,0
1,1,0,3.937817187111567,Business,3,168293.0583775115,4,0,0,1
1,0,0,3.967743610605767,Humanities,1,225085.93869897848,2,0,0,0
1,1,0,3.5858240162210673,Health Sciences,2,190981.00872123532,5,0,0,1
1,1,0,3.3593164481154814,Health Sciences,2,190298.35026275038,2,0,0,1
1,1,1,2.826329089030832,STEM,4,317692.2368104733,1,1,0,0
1,1,0,3.2641888093038767,Business,1,697317.0482995859,1,0,0,0
1,1,1,2.5727222371112832,STEM,4,453352.95901316317,6,0,0,0
0,1,1,3.3234697062028555,STEM,4,333130.30157560814,0,0,0,0
1,1,1,3.523671146940906,Business,2,158907.46532654448,3,1,0,0
1,0,1,4.043208138943128,STEM,4,301734.22301048745,5,1,0,0
1,1,0,3.2357711796908255,STEM,3,284074.1958486474,2,0,0,1
1,1,0,3.625977800781169,STEM,1,285953.84895532194,2,0,0,1
1,1,0,4.070979015985227,STEM,4,233738.00859100063,3,0,0,1
1,1,0,2.930834617531552,STEM,4,174674.60153457802,5,0,0,1
0,1,0,3.7829383585752763,Business,4,518264.71334955253,4,0,0,0
1,1,0,2.6705130012828397,STEM,2,108724.31122382314,4,0,0,1
1,1,1,3.022938429242696,STEM,2,186743.466279955,3,0,0,0
1,1,1,3.0695048670861658,Humanities,1,77457.00070561729,0,0,0,0
1,1,0,3.154386494999183,STEM,3,315192.81626976497,3,0,1,1
1,1,0,3.1416794304954827,Humanities,4,145651.53397813838,3,0,0,1
1,1,0,3.6696496898384914,Humanities,1,311706.51098206715,3,0,0,1
1,1,0,3.395706211044033,Business,3,391737.20983490866,6,0,0,1
1,1,0,2.9826839314688978,Humanities,3,246902.86142909035,7,1,0,1
1,1,0,2.7399542000034645,Business,3,287896.90623425593,5,0,0,1
1,1,0,3.839365655214713,Health Sciences,2,501678.44526994065,4,1,0,1
1,1,0,3.9787679554950097,STEM,3,283945.13041502336,7,0,0,1
1,1,0,3.495106064730948,STEM,2,116109.7639549419,4,0,0,1
1,0,0,2.100880270923917,STEM,2,340949.2093284996,4,0,0,0
1,1,1,3.2452426961936585,Humanities,2,302829.3196066883,1,0,0,0
1,0,1,3.1599185457567716,STEM,2,135597.1801868302,2,0,0,0
1,1,0,3.240801979460635,Humanities,2,261088.92239315106,0,0,0,1
1,1,0,4.157052301392662,Business,1,217572.40748544974,2,0,0,1
1,1,0,3.835606536727114,Business,3,225667.2099033603,2,0,0,1
1,1,0,3.8964486772456075,STEM,3,183268.19332183237,4,0,0,1
1,1,0,4.030347984921623,Business,4,220915.95952658443,2,0,0,1
1,1,0,3.3021278209356435,Humanities,3,168034.64963052914,6,0,0,1
1,0,0,3.3314654711627676,Health Sciences,4,285283.70225017535,5,0,1,0
1,1,0,3.541764232979947,Humanities,4,191829.3522097994,3,0,1,1
1,1,0,3.2151734530249545,Humanities,2,172234.21808901159,1,0,0,1
1,1,0,3.2052514934098912,Business,3,266892.62970162794,3,0,0,1
1,1,0,3.920745605807181,STEM,2,140383.38608345346,4,0,0,1
1,1,0,3.7908557464723076,STEM,3,322291.9719843163,4,0,0,1
1,1,0,2.4597861673507078,Health Sciences,2,310108.1320971282,3,0,0,0
1,1,0,3.405289637241705,STEM,3,112402.62530525954,5,0,0,1
1,1,0,4.088058038912786,Humanities,4,108889.80497759198,5,0,0,1
1,1,0,3.891534656836993,Humanities,1,342928.52830465493,6,0,0,1
1,1,0,3.5546192008099213,STEM,3,735382.2995325126,1,1,0,1
1,1,0,4.265030563857161,Business,3,739192.7051496273,1,0,0,0
1,1,0,3.2964366120920205,STEM,4,272736.7498064495,1,0,0,1
1,1,0,3.3809796742730582,STEM,4,324913.59041852586,1,0,1,1
1,1,0,2.46911036814441,Business,4,256397.45463994172,1,0,0,0
1,1,0,3.4939493158624257,STEM,4,227913.55016650388,2,0,0,1
1,1,0,4.435176779888163,Humanities,1,150678.73896432354,3,0,0,1
1,1,0,3.4935569790521797,STEM,4,329890.4098345771,6,0,0,1
1,1,0,3.6052057465538114,Humanities,3,270315.4154713524,2,0,0,1
0,1,0,3.4097586175605583,STEM,2,382329.0486974286,4,0,0,0
1,1,0,3.7269643085503454,Health Sciences,4,368667.66696357797,3,0,0,1
1,1,0,3.1693514886661185,STEM,3,433260.57552192657,1,0,0,1
1,1,0,4.3903327462650985,Health Sciences,2,237402.03164301743,0,0,0,1
1,1,0,4.04384774650987,Business,2,189516.91431222932,3,0,0,1
0,1,1,3.8538013233454818,STEM,4,358113.9606442316,5,0,0,0
0,1,0,4.086117331131773,Humanities,2,329302.88413405453,3,0,0,0
1,1,0,3.485200500103729,Health Sciences,4,429277.5402469251,0,0,0,1
1,1,0,3.168035595119697,Humanities,3,363559.7264181791,3,0,0,1
1,1,0,3.685165907896218,STEM,1,112746.79094686313,7,1,0,1
1,1,0,4.098070842085225,STEM,2,203726.9330371423,5,0,0,1
1,1,1,3.3588810941202656,Health Sciences,2,48033.87086520102,4,1,0,0
1,1,0,3.3512665650935394,Health Sciences,1,256046.79718798792,5,0,0,1
1,1,0,3.5589305104583686,STEM,4,258946.99701802435,6,0,0,1
1,1,0,2.5110712217216142,Health Sciences,4,192445.13133693216,1,0,0,1
1,1,0,2.981640578958779,Business,4,176860.62137611496,7,0,0,1
1,1,0,3.213328446109011,Health Sciences,1,452861.86885632534,2,0,1,1
1,1,0,4.088907599425925,STEM,4,617111.0675997272,5,0,0,0
1,1,0,3.703627656117638,Health Sciences,4,840632.6351643458,1,0,0,0
1,1,0,2.975624109009336,Health Sciences,1,285080.7319413009,3,0,1,1
1,1,1,3.6692670934814937,Humanities,3,311536.1345439862,1,0,0,0
1,1,0,3.5510853896264853,STEM,1,221856.97243041702,3,0,0,1
1,1,0,3.243950986531966,Business,3,219952.11020218118,2,0,1,1
1,1,0,3.192382267799634,Health Sciences,4,388574.5230556167,3,0,0,1
1,1,0,4.6835422375404425,Humanities,2,454419.4422823654,2,0,0,1
1,1,0,2.6097051581222774,Business,2,333415.22428560647,3,0,0,1
1,1,1,3.222280858985695,STEM,4,293391.1279432608,2,0,1,0
0,1,1,3.9072196208944416,Health Sciences,3,640271.2790825318,4,1,0,0
1,1,0,3.066369341948952,Business,2,226793.38203106928,5,0,0,1
1,1,1,3.226403419677575,Health Sciences,1,559319.0006766171,2,1,1,0
1,1,0,2.907364716891956,Business,2,293158.87402224145,2,0,0,1
1,1,0,3.6258502586410555,Humanities,3,115082.95434572462,6,0,0,1
1,1,0,3.6829485613857167,STEM,3,321532.2324296875,1,0,0,1
1,1,0,2.959122590918907,STEM,1,394105.626531901,5,0,0,1
1,0,1,4.221826105649827,Humanities,2,221799.5950089982,1,0,0,0
1,1,0,3.01792115266092,Humanities,4,301250.95371175825,6,1,0,1
1,1,0,3.727923636454229,Business,1,494928.273215459,3,0,0,1
1,1,0,2.858378487137308,STEM,1,127691.53177444582,3,0,0,1
1,1,0,3.7768527642258514,Business,2,372312.0696661888,2,0,0,1
1,1,0,3.7580560602827005,STEM,1,182295.3566588594,2,0,0,1
1,1,1,3.134955377948301,STEM,4,378305.70460395684,0,0,0,0
1,1,0,3.688514357487527,Humanities,1,328743.0652584841,4,0,0,1
1,1,0,3.6730175956520057,Health Sciences,2,291376.6710175082,6,0,0,1
1,0,0,3.3857653535559646,Humanities,2,326444.17114205187,4,0,0,0
1,1,0,3.9139785058395122,STEM,3,375087.1189397119,3,0,1,1
1,1,0,3.054836218647882,Health Sciences,1,335672.88257089676,3,0,0,1
1,1,1,4.120296160907635,STEM,1,194892.99130170644,6,0,0,0
0,1,0,3.7722583895198945,STEM,2,191693.8328836616,3,0,0,0
1,1,0,2.862765912713213,Business,1,265242.2526277094,3,0,1,1
0,1,0,3.77847836267107,Health Sciences,1,336293.3290908787,1,1,0,0
0,1,0,3.393150591590426,Health Sciences,4,314493.2183341298,4,0,0,0
1,1,0,3.207705642435923,STEM,3,627974.5749567599,1,0,0,0
1,1,0,3.8843953504521336,STEM,4,411203.4790256979,2,1,1,1
1,1,0,4.023095186990467,Health Sciences,2,713720.1198388127,5,0,0,0
1,1,0,2.3353097350788525,STEM,1,459502.4504399551,3,0,0,0
1,1,1,3.4726396772366512,STEM,3,372750.1626074389,4,0,1,0
1,1,0,3.4337664709844975,STEM,4,248274.9897554404,0,0,0,1
1,1,1,3.2358313828693914,Business,3,348944.8838294946,2,0,0,0
1,1,1,3.596952750385972,Health Sciences,4,236220.40132023286,4,0,0,0
1,1,0,4.020341423187015,STEM,2,229849.00479505205,2,0,0,1
1,0,1,2.8519410446615123,STEM,3,506943.381325179,2,0,0,0
1,1,0,3.1258950470411593,Business,2,718999.0724903626,2,0,0,0
0,0,0,3.1346748715283654,Business,4,180433.82433969143,3,0,0,0
1,1,0,3.787311928050027,STEM,1,199466.9010418764,7,1,0,1
1,0,0,3.2156586483353014,Humanities,3,301344.09290239745,6,0,0,0
1,1,0,3.8824514939713515,Humanities,1,156262.0929255943,1,0,0,1
1,1,0,3.9590925917741133,Health Sciences,4,251942.7628869098,3,1,0,1
1,1,1,3.3939135524500506,STEM,3,286103.0071827944,0,0,0,0
1,1,0,3.592430552439828,STEM,1,260268.1931572912,6,0,0,1
1,1,1,3.4325490666209975,STEM,1,158179.51022141162,9,0,1,0
1,1,1,4.517149148219554,STEM,3,478138.0202291088,3,0,0,0
0,1,0,3.021810385817802,Health Sciences,4,294958.4721226113,4,0,0,0
1,1,0,2.7477157046763887,Health Sciences,1,194189.8630181237,4,0,0,1
1,0,1,2.197813643998648,Health Sciences,2,175485.06823900656,2,0,0,0
1,1,0,3.6079059254339194,Health Sciences,2,263435.85205035517,0,0,0,1
1,1,0,3.618996781404514,Humanities,3,293956.8518254092,2,0,0,1
1,1,0,2.9329717969893285,Business,4,441918.9521612092,2,0,0,1
1,1,0,3.119778432048676,STEM,3,331788.80774484534,4,0,0,1
1,1,0,3.9946269987008125,STEM,3,187753.27993819988,5,1,0,1
1,1,0,3.9116025178673577,Business,3,413900.6261685915,2,0,0,1
1,1,0,3.3801137879198793,Business,2,544305.2793814569,1,0,0,0
1,1,0,3.2733368140229255,STEM,3,192280.06822725688,1,0,0,1
1,1,0,3.252279121383529,Health Sciences,3,155211.97544538917,3,1,0,1
1,1,0,3.678276846046147,STEM,4,254962.14343200557,5,0,0,1
1,1,0,3.686091303027582,Health Sciences,2,291654.8996430823,3,0,0,1
1,1,0,3.8969042227170356,STEM,1,294246.2528900197,2,0,0,1
0,1,1,3.839000673712166,STEM,3,129897.40083886568,2,0,0,0
1,1,0,3.1089143098741454,Business,1,438332.07647959975,2,0,0,1
1,1,0,3.5573869879987163,Business,4,221505.6803427339,3,0,0,1
